Timestamp,SensorData
130976250,7245,1.38,0.48,9.35

130976265,5
130976265,7258,1.36,0.48,9.45

130976281,5
130976281,7271,1.36,0.50,9.42

130976281,5
130976281,7284,1.36,0.50,9.37

130976296,5
130976296,7297,1.39,0.50,9.34

130976312,5
130976312,7310,1.39,0.50,9.37

130976328,5
130976328,7323,1.41,0.50,9.33

130976343,5
130976343,7336,2.81,1.72,-0.09

130976359,5
130976359,7349,1.92,1.14,12.36

130976359,5
130976359,7362,1.46,0.77,9.78

130976375,5
130976375,7375,1.43,0.84,9.97

130976390,5
130976390,7388,1.28,0.66,9.54

130976406,5
130976406,7401,1.29,0.69,9.46

130976421,5
130976421,7414,1.36,0.69,9.55

130976437,5
130976437,7427,1.30,0.60,9.76

130976437,5
130976437,7440,1.36,0.54,9.79

130976453,5
130976453,7453,1.28,0.17,10.24

130976468,5
130976468,7466,1.45,1.42,9.39

130976484,5
130976484,7479,1.35,0.20,7.50

130976500,5
130976500,7492,1.46,0.47,9.20

130976515,5
130976515,7505,1.43,0.47,9.19

130976515,5
130976515,7518,1.38,0.49,9.31

130976531,5
130976531,7531,1.39,0.48,9.32

130976546,5
130976546,7544,1.37,0.49,9.35

130976562,5
130976562,7557,1.36,0.45,9.39

130976578,5
130976578,7570,1.36,0.46,9.39

130976593,5
130976593,7583,1.37,0.49,9.37

130976593,5
130976593,7596,1.36,0.48,9.36

130976609,5
130976609,7609,1.39,0.48,9.35

130976625,5
130976625,7622,1.41,0.49,9.34

130976640,5
130976640,7635,1.40,0.49,9.30

130976656,5
130976656,7648,1.41,0.49,9.33

130976671,5
130976671,7661,1.39,0.47,9.35

130976671,5
130976671,7674,2.84,1.76,5.19

130976687,5
130976687,7687,1.51,0.57,13.19

130976703,5
130976703,7700,1.39,0.77,10.02

130976718,5
130976718,7713,1.39,0.74,10.05

130976734,5
130976734,7726,1.26,0.60,9.58

130976750,5
130976750,7739,1.32,0.68,9.36

130976750,5
130976750,7752,1.34,0.65,9.39

130976765,5
130976765,7765,1.31,0.65,9.56

130976781,5
130976781,7778,1.33,0.66,9.61

130976796,5
130976796,7791,1.45,0.73,9.94

130976812,5
130976812,7804,1.43,0.46,10.34

130976828,5
130976828,7817,0.64,0.51,9.49

130976828,5
