gesture,ax,ay,az,gx,gy,gz
left,1.39,0.99,9.41,-0.09,0.05,-0.0
left,1.4,0.97,9.37,-0.09,0.05,-0.01
left,1.4,0.94,9.31,-0.06,0.05,-0.01
left,1.42,0.87,9.23,-0.02,0.05,-0.02
left,1.46,0.84,9.39,0.02,0.05,-0.01
left,1.41,0.86,9.53,0.0,0.05,0.01
left,1.38,0.85,9.53,-0.04,0.05,0.02
left,1.33,0.83,9.35,-0.07,0.06,0.02
left,1.33,0.81,9.19,-0.07,0.06,0.02
left,1.37,0.79,9.17,-0.03,0.05,0.03
left,1.39,0.81,9.24,-0.02,0.05,0.03
left,1.36,0.84,9.21,-0.03,0.04,0.04
left,1.3,0.92,9.26,-0.05,0.04,0.05
left,1.28,0.96,9.2,-0.05,0.03,0.04
left,1.27,0.96,9.23,-0.04,0.03,0.03
left,1.31,0.95,9.27,-0.02,0.03,0.02
left,1.37,0.87,9.34,0.0,0.03,0.02
left,1.44,0.89,9.48,-0.0,0.03,0.02
left,1.5,0.91,9.54,-0.01,0.04,0.04
left,1.44,1.01,9.49,-0.01,0.05,0.04
left,1.4,1.13,9.42,0.01,0.04,0.04
left,1.33,1.2,9.45,0.03,0.04,0.02
left,1.38,1.15,9.4,0.03,0.03,0.01
left,1.35,1.12,9.41,0.05,0.02,-0.0
left,1.36,1.12,9.4,0.08,0.03,-0.02
left,1.33,1.11,9.33,0.11,0.03,-0.04
left,1.36,0.96,9.29,0.14,0.02,-0.06
left,1.37,0.89,9.3,0.2,0.02,-0.06
left,1.37,0.96,9.47,0.24,0.02,-0.06
left,1.41,1.07,9.73,0.24,0.03,-0.06
left,1.46,1.1,9.91,0.18,0.05,-0.05
left,1.43,1.02,9.82,0.11,0.05,-0.04
left,1.37,1.01,9.47,0.13,0.05,-0.02
left,1.32,1.2,9.36,0.22,0.05,-0.04
left,1.37,1.3,9.34,0.33,0.04,-0.07
left,1.42,1.27,9.35,0.43,0.03,-0.1
left,1.48,1.23,9.46,0.53,0.02,-0.12
left,1.48,1.21,9.6,0.62,0.01,-0.11
left,1.37,1.48,9.73,0.7,0.02,-0.1
left,1.33,1.7,9.58,0.76,0.01,-0.13
left,1.21,1.84,9.3,0.92,0.01,-0.18
left,1.32,1.98,9.0,1.23,0.01,-0.26
left,1.3,2.32,8.83,1.64,0.0,-0.34
left,1.5,2.61,9.4,2.09,0.03,-0.44
left,1.53,2.95,9.93,2.37,0.06,-0.49
left,1.51,3.28,10.1,2.53,0.11,-0.52
left,1.3,3.57,9.45,2.7,0.15,-0.57
left,1.19,3.87,8.63,3.05,0.16,-0.64
left,1.19,4.33,8.26,3.62,0.19,-0.73
left,1.3,5.09,8.54,4.12,0.21,-0.8
left,1.1,5.92,7.94,4.46,0.23,-0.87
left,0.7,6.3,5.73,5.09,0.24,-0.99
left,0.53,7.21,5.34,6.21,0.3,-1.12
left,0.42,8.72,6.57,6.81,0.32,-1.19
left,0.15,9.54,5.54,6.71,0.21,-1.24
left,0.07,9.39,4.53,6.79,0.14,-1.31
left,0.22,9.08,3.73,6.87,0.08,-1.29
left,0.14,9.37,3.83,7.1,0.11,-1.23
left,0.15,10.49,5.67,6.83,0.17,-1.13
left,0.25,11.15,7.5,5.47,0.22,-1.0
left,0.11,9.99,6.49,3.53,0.26,-0.84
left,0.22,7.71,3.07,2.15,0.29,-0.59
left,-0.12,6.79,0.01,1.92,0.36,-0.31
left,-0.42,8.33,-0.63,2.1,0.32,-0.12
left,-0.75,9.69,0.1,2.13,0.31,-0.12
left,-0.78,9.43,0.62,1.9,0.28,-0.19
left,-1.04,8.61,0.59,1.52,0.31,-0.22
left,-0.95,7.63,-0.38,1.21,0.31,-0.17
left,-0.77,7.65,-0.46,0.98,0.3,-0.04
left,-0.69,8.32,-0.44,0.8,0.33,0.06
left,-0.76,8.99,-0.97,0.56,0.32,0.07
left,-0.68,8.52,-1.64,0.44,0.25,0.05
left,-0.47,8.48,-1.14,0.4,0.2,0.07
left,-0.4,8.76,-1.11,0.28,0.18,0.1
left,-0.32,8.94,-1.22,0.24,0.18,0.12
left,-0.32,9.31,-1.14,0.17,0.16,0.14
left,-0.31,9.36,-1.25,0.12,0.14,0.14
left,-0.34,9.52,-1.03,0.05,0.09,0.16
left,-0.64,9.89,-1.21,0.05,0.06,0.14
left,-0.72,10.15,-1.21,0.12,0.02,0.09
left,-0.71,10.2,-0.62,0.13,-0.02,0.03
left,-0.63,9.95,-0.31,0.0,-0.02,-0.0
left,-0.33,9.53,-0.65,-0.05,-0.01,0.03
left,-0.4,9.91,-0.86,-0.02,-0.02,0.05
left,-0.4,10.24,-0.39,-0.02,-0.05,0.04
left,-0.39,10.18,0.08,-0.14,-0.02,0.02
left,-0.43,9.69,-0.48,-0.21,0.02,0.02
left,-0.4,9.75,-0.79,-0.1,0.04,0.03
left,-0.56,10.31,-0.43,-0.07,0.05,0.01
left,-0.51,10.08,-0.58,-0.14,0.04,-0.04
left,-0.38,9.54,-0.76,-0.13,0.04,-0.03
left,-0.42,9.55,-0.76,-0.13,0.04,0.0
left,-0.55,9.57,-1.09,-0.11,0.03,0.02
left,-0.57,9.63,-0.85,-0.04,0.03,0.01
left,-0.56,9.75,-0.65,-0.06,0.03,0.0
left,-0.5,9.37,-0.94,-0.1,0.02,0.0
left,-0.44,9.3,-0.84,-0.07,0.03,0.04
left,-0.53,9.55,-0.73,-0.07,0.05,0.05
left,-0.53,9.55,-0.97,-0.07,0.06,0.06
left,-0.57,9.68,-0.93,-0.04,0.05,0.05
left,-0.57,9.88,-0.82,-0.06,0.03,0.04
left,-0.49,9.87,-0.73,-0.14,0.01,0.02
left,-0.51,9.75,-0.82,-0.22,-0.02,0.01
left,-0.46,9.64,-0.87,-0.21,-0.02,0.01
left,-0.41,9.67,-0.44,-0.24,-0.02,0.02
left,-0.48,9.86,-0.31,-0.37,-0.01,0.03
left,-0.51,9.81,-0.71,-0.47,-0.02,0.03
left,-0.55,9.75,-0.87,-0.45,-0.04,0.03
left,-0.56,9.88,-0.66,-0.35,-0.03,0.02
left,-0.62,10.01,-0.34,-0.33,-0.01,-0.0
left,-0.51,9.72,-0.43,-0.4,0.01,-0.01
left,-0.53,9.44,-0.89,-0.37,-0.0,0.0
left,-0.51,9.64,-0.69,-0.26,-0.02,0.02
left,-0.51,9.81,-0.28,-0.25,-0.03,0.01
left,-0.51,9.8,-0.09,-0.3,-0.01,0.0
left,-0.48,9.65,-0.35,-0.35,-0.02,-0.01
left,-0.51,9.41,-0.81,-0.27,-0.04,-0.01
left,-0.58,9.67,-0.66,-0.09,-0.05,-0.0
left,-0.6,9.88,-0.37,0.03,-0.05,-0.02
left,-0.54,9.75,0.07,0.0,-0.05,-0.02
left,-0.54,9.47,0.06,-0.06,-0.04,0.0
left,-0.52,9.44,-0.12,-0.05,-0.03,0.03
left,-0.52,9.67,-0.21,-0.02,-0.03,0.02
left,-0.56,9.79,-0.06,0.03,-0.03,0.0
left,-0.45,9.68,0.16,0.01,-0.03,-0.01
left,-0.47,9.48,0.25,-0.07,-0.02,0.01
left,-0.48,9.41,-0.02,-0.12,-0.0,0.04
left,-0.5,9.5,-0.18,-0.08,0.02,0.05
left,-0.45,9.63,0.08,-0.09,0.01,0.06
left,-0.46,9.68,0.22,-0.15,0.02,0.07
left,-0.51,9.7,0.13,-0.22,0.02,0.07
left,-0.49,9.77,-0.06,-0.28,0.02,0.07
left,-0.49,9.91,-0.06,-0.3,0.01,0.06
left,-0.48,10.04,0.09,-0.35,0.01,0.04
left,-0.51,9.96,0.22,-0.46,-0.01,0.02
left,-0.54,9.87,0.51,-0.64,-0.01,0.02
left,-0.51,9.76,0.69,-0.94,-0.02,0.04
left,-0.55,9.53,0.35,-1.27,-0.04,0.06
left,-0.54,9.36,0.01,-1.44,-0.07,0.09
left,-0.46,9.37,0.15,-1.54,-0.12,0.11
left,-0.41,9.39,1.17,-1.76,-0.16,0.14
left,-0.34,9.04,1.73,-2.2,-0.14,0.22
left,-0.29,8.3,0.63,-2.55,-0.14,0.35
left,-0.56,8.19,-0.55,-2.43,-0.23,0.42
left,-0.5,8.94,0.29,-2.03,-0.32,0.41
left,-0.31,9.9,3.38,-2.02,-0.31,0.37
left,0.05,10.07,5.97,-2.74,-0.25,0.38
left,0.34,8.89,5.48,-3.82,-0.16,0.46
left,0.08,6.89,1.7,-4.09,-0.14,0.64
left,-0.24,7.27,0.17,-3.1,-0.15,0.74
left,-0.49,9.42,1.96,-2.0,-0.2,0.58
left,-0.04,10.41,6.53,-1.79,-0.2,0.33
left,0.62,9.2,9.08,-2.75,-0.11,0.24
left,1.19,6.72,8.44,-4.12,-0.06,0.51
left,0.88,6.04,6.66,-5.12,-0.04,0.94
left,0.29,6.84,5.37,-5.48,-0.1,1.18
left,0.21,7.44,4.67,-5.37,-0.18,1.13
left,0.49,7.51,5.76,-4.9,-0.23,0.97
left,0.74,7.43,7.14,-4.59,-0.22,0.77
left,1.29,6.21,8.77,-4.55,-0.21,0.67
left,1.27,5.08,9.37,-4.84,-0.19,0.75
left,1.13,4.45,9.05,-5.03,-0.17,0.87
left,0.85,4.36,8.98,-5.02,-0.17,0.91
left,0.84,4.25,8.78,-4.84,-0.15,0.82
left,0.98,3.5,7.92,-4.41,-0.15,0.64
left,1.09,2.37,7.42,-3.58,-0.14,0.43
left,1.25,1.63,7.55,-2.54,-0.11,0.27
left,1.42,1.37,8.52,-1.67,-0.09,0.13
left,1.65,0.98,9.84,-1.13,-0.07,0.06
left,1.67,0.88,10.7,-0.99,-0.03,0.07
left,1.79,0.58,10.95,-1.15,-0.02,0.12
left,1.73,0.19,10.47,-1.32,-0.02,0.21
left,1.52,0.46,10.07,-1.38,-0.0,0.27
left,1.35,0.51,9.03,-1.28,-0.02,0.24
left,1.29,0.22,8.32,-0.87,-0.03,0.16
left,1.19,0.46,8.36,-0.26,0.01,0.06
left,1.3,0.54,9.07,0.14,-0.01,-0.07
left,1.53,0.32,9.76,0.31,0.01,-0.12
left,1.66,0.14,10.25,0.26,0.04,-0.09
left,1.77,0.02,9.94,0.02,0.02,-0.01
left,1.61,0.03,9.52,-0.13,-0.01,0.08
left,1.47,0.46,9.44,-0.16,-0.03,0.11
left,1.36,0.75,9.31,-0.14,-0.04,0.07
left,1.38,0.63,9.17,-0.03,-0.03,0.01
left,1.45,0.6,9.45,0.05,-0.03,-0.03
left,1.62,0.4,10.01,0.02,-0.02,-0.04
left,1.72,0.08,10.12,-0.1,0.0,0.02
left,1.65,0.07,9.75,-0.18,0.01,0.09
left,1.44,0.38,9.63,-0.2,0.01,0.11
left,1.45,0.43,9.46,-0.17,0.02,0.1
left,1.45,0.42,9.26,-0.05,0.03,0.07
left,1.52,0.5,9.5,0.06,0.03,0.04
left,1.57,0.56,9.83,0.07,0.03,0.01
left,1.63,0.43,9.85,0.0,0.03,0.0
left,1.58,0.27,9.68,-0.03,0.03,0.01
left,1.51,0.35,9.71,-0.03,0.03,0.03
left,1.47,0.36,9.68,-0.05,0.04,0.04
left,1.44,0.31,9.59,-0.07,0.05,0.04
left,1.42,0.38,9.27,-0.08,0.05,0.02
left,1.46,0.34,9.33,-0.07,0.05,0.01
left,1.55,0.26,9.33,-0.07,0.04,0.01
left,1.51,0.27,9.21,-0.03,0.03,0.02
left,1.48,0.34,9.49,-0.0,0.02,0.03
left,1.47,0.39,9.67,-0.01,0.03,0.02
left,1.47,0.31,9.66,-0.04,0.04,0.01
left,1.49,0.24,9.46,-0.05,0.05,0.01
left,1.45,0.22,9.39,-0.02,0.05,0.02
left,1.54,0.28,9.5,0.01,0.05,0.01
left,1.52,0.35,9.68,0.01,0.06,0.01
left,1.52,0.32,9.75,-0.03,0.07,0.01
left,1.49,0.23,9.59,-0.06,0.07,0.04
left,1.39,0.32,9.3,-0.07,0.05,0.03
left,1.36,0.44,9.25,-0.02,0.05,0.01
left,1.4,0.43,9.23,0.02,0.05,-0.01
left,1.54,0.36,9.45,0.03,0.04,-0.02
left,1.5,0.34,9.53,0.04,0.05,-0.02
left,1.46,0.39,9.49,0.05,0.06,-0.01
left,1.37,0.51,9.4,0.05,0.06,-0.02
