acceleration.x,acceleration.y,acceleration.z,gesture
0.63,0.16,9.37,gesture_2
0.64,0.14,9.25,gesture_2
0.63,0.14,9.36,gesture_2
0.64,0.16,9.37,gesture_2
0.56,0.69,10.35,gesture_2
0.64,0.12,9.31,gesture_2
0.9,-0.09,6.45,gesture_2
0.63,0.18,9.36,gesture_2
0.64,0.15,9.32,gesture_2
0.5,0.41,10.28,gesture_2
0.24,-4.65,-4.79,gesture_2
0.82,0.34,7.17,gesture_2
0.62,0.15,9.4,gesture_2
0.67,0.2,9.26,gesture_2
0.5,0.45,10.35,gesture_2
0.95,0.38,8.6,gesture_2
0.42,0.34,6.92,gesture_2
0.62,0.14,9.42,gesture_2
0.66,0.18,9.24,gesture_2
0.51,-0.04,7.45,gesture_2
0.65,0.58,10.81,gesture_2
0.73,0.16,9.33,gesture_2
0.61,0.13,9.46,gesture_2
0.52,1.17,11.02,gesture_2
0.64,0.16,9.48,gesture_2
0.03,0.16,10.19,gesture_2
0.67,0.17,9.01,gesture_2
0.65,0.16,9.34,gesture_2
0.47,-0.25,11.06,gesture_2
0.7,0.87,10.25,gesture_2
0.61,0.16,9.52,gesture_2
0.64,0.17,9.42,gesture_2
0.02,0.24,-15.69,gesture_2
0.74,0.11,7.9,gesture_2
0.59,0.88,11.11,gesture_2
0.7,0.3,9.08,gesture_2
0.9,1.07,11,gesture_2
0.63,0.2,9.07,gesture_2
0.66,0.2,9.34,gesture_2
0.63,0.16,9.41,gesture_2
0.72,0.87,10.42,gesture_2
0.93,0.91,2.15,gesture_2
0.62,0.2,7.19,gesture_2
0.66,0.2,9.34,gesture_2
0.49,1.14,11.76,gesture_2
0.64,0.1,9.42,gesture_2
0.95,0.32,10.16,gesture_2
0.64,0.21,8.97,gesture_2
0.63,0.17,9.43,gesture_2
0.62,0.21,9.38,gesture_2
0.65,-0.11,8.93,gesture_2
0.6,0.63,10.44,gesture_2
0.64,0.18,9.53,gesture_2
0.61,0.18,9.43,gesture_2
0.67,0.19,9.27,gesture_2
0.41,0.81,11.2,gesture_2
0.79,-0.51,19.61,gesture_2
0.61,0.17,9.59,gesture_2
0.65,0.21,9.32,gesture_2
0.65,0.19,9.25,gesture_2
0.28,0.25,8,gesture_2
0.55,0.93,11.3,gesture_2
0.73,0.27,9.22,gesture_2
0.6,0.2,9.46,gesture_2
0.62,0.23,9.34,gesture_2
0.77,-1.24,11.29,gesture_2
0.8,1.51,10.65,gesture_2
0.61,0.21,9.44,gesture_2
0.61,0.18,9.37,gesture_2
0.66,0.23,9.27,gesture_2
0.73,0.05,9.06,gesture_2
0.57,0.54,10.62,gesture_2
0.61,0.28,9,gesture_2
0.6,0.2,9.44,gesture_2
